airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment
8U,IST,Atatürk International Airport,Istanbul,Turkey,BEN,Benina International Airport,Benghazi,Libya,320
8U,IST,Atatürk International Airport,Istanbul,Turkey,TIP,Tripoli International Airport,Tripoli,Libya,332 319
8U,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,BEN,Benina International Airport,Benghazi,Libya,320
8U,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,TIP,Tripoli International Airport,Tripoli,Libya,332
8U,SFA,Sfax Thyna International Airport,Sfax,Tunisia,TIP,Tripoli International Airport,Tripoli,Libya,320 319
8U,TIP,Tripoli International Airport,Tripoli,Libya,AMM,Queen Alia International Airport,Amman,Jordan,332 320
8U,TIP,Tripoli International Airport,Tripoli,Libya,CAI,Cairo International Airport,Cairo,Egypt,320 332
8U,TIP,Tripoli International Airport,Tripoli,Libya,CMN,Mohammed V International Airport,Casablanca,Morocco,320 319 332
8U,TIP,Tripoli International Airport,Tripoli,Libya,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,320
8U,TIP,Tripoli International Airport,Tripoli,Libya,HBE,Borg El Arab International Airport,Alexandria,Egypt,320 319
8U,TIP,Tripoli International Airport,Tripoli,Libya,IST,Atatürk International Airport,Istanbul,Turkey,332 319
8U,TIP,Tripoli International Airport,Tripoli,Libya,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,332
8U,TIP,Tripoli International Airport,Tripoli,Libya,SFA,Sfax Thyna International Airport,Sfax,Tunisia,320 319
8U,TIP,Tripoli International Airport,Tripoli,Libya,TUN,Tunis Carthage International Airport,Tunis,Tunisia,319 320
8U,TUN,Tunis Carthage International Airport,Tunis,Tunisia,BEN,Benina International Airport,Benghazi,Libya,319 320
8U,TUN,Tunis Carthage International Airport,Tunis,Tunisia,TIP,Tripoli International Airport,Tripoli,Libya,319 320
9C,BKI,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,BKK,Suvarnabhumi Airport,Bangkok,Thailand,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,CJU,Jeju International Airport,Cheju,South Korea,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,CNX,Chiang Mai International Airport,Chiang Mai,Thailand,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,HKT,Phuket International Airport,Phuket,Thailand,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,HSG,Saga Airport,Saga,Japan,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,IBR,Hyakuri Airport,Ibaraki,Japan,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,KHH,Kaohsiung International Airport,Kaohsiung,Taiwan,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,KIX,Kansai International Airport,Osaka,Japan,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,MFM,Macau International Airport,Macau,Macau,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,BKI,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,BKK,Suvarnabhumi Airport,Bangkok,Thailand,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,CJU,Jeju International Airport,Cheju,South Korea,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,CNX,Chiang Mai International Airport,Chiang Mai,Thailand,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,HKT,Phuket International Airport,Phuket,Thailand,320
